"SERIALNO","SPORDER","PWGTP","WGTP","AGEP","SEX","ESR","MAR","DIS","Boro","HousingStatus","EducAttain","PreTaxIncome_PU","WAGP_adj","INTP_adj","SEMP_adj","SSP_adj","SSIP_adj","RETP_adj","MRGP_adj","RNTP_adj","NYCgov_MOOP","NYCgov_MedSpending","NYCgov_MedPremiums","NYCgov_HEAP","NYCgov_WIC","NYCgov_SNAP","NYCgov_SchoolLunch","NYCgov_SchoolBreakfast","NYCgov_Nutrition","Off_Threshold","Off_Pov_Stat","NYCgov_Threshold","NYCgov_Pov_Stat","NYCgov_PovGapIndex","NYCgov_PovGap"
328303,1,102,101,72,2,6,2,2,2,2,2,40303.52,0,0,0,17733.5488,0,22569.9712,0,1007.588,2125.371,569.7961,1555.575,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
328312,3,146,126,19,2,6,5,2,4,3,2,21260.1068,0,0,0,0,4836.4224,0,0,1007.588,225.2199,225.2199,0,21,0,4068,0,0,4068,18774,2,32401.9996992759,1,0.005147798452526,166.798965454102
328350,1,163,163,53,1,6,5,2,4,6,1,19748.7248,0,0,0,0,9874.3624,0,0,241.82112,0,0,0,35,0,1390,0,0,1390,16072,2,21174.1530548727,1,2.0225359549e-05,0.428254872560501
328387,2,50,40,3,2,NA,5,2,4,6,1,40303.52,0,0,0,0,0,0,0,755.691,3152.083,696.4175,2455.666,0,0,0,0,0,0,16543,2,22660.9278954915,2,0,0
328428,1,82,82,66,1,6,5,2,2,4,3,49412.11552,0,0,0,2216.6936,0,14509.2672,0,826.22216,6055.345,992.2133,5063.132,35,0,0,0,0,0,14507,2,21174.1530548727,2,0,0
328504,4,60,121,15,1,NA,5,2,4,8,1,77483.5172,0,0,0,0,0,0,0,0,8170.337,5442.643,2727.694,35,0,4319,1170.4,0,5489.4,29360,2,39630.4432054192,2,0,0
328570,1,100,99,40,2,1,3,2,4,6,4,70531.16,70531.16,0,0,0,0,0,0,1209.1056,327.2851,147.379,179.9061,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
328596,2,107,117,61,1,1,1,2,5,9,3,161214.08,100758.8,0,0,0,0,0,2418.2112,0,5948.92,4019.709,1929.211,0,0,0,0,0,0,18774,2,32401.9996992759,2,0,0
328622,1,63,63,67,2,1,3,1,4,8,4,150130.612,60455.28,0,0,0,0,10075.88,0,0,1040.61,628.9553,411.6544,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
328659,1,144,144,27,2,1,5,2,3,4,4,130996.51588,130986.44,10.07588,0,0,0,0,0,1813.6584,1386.608,888.4254,498.1824,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
328674,2,59,81,42,2,6,1,2,2,3,2,40303.52,0,0,0,0,0,0,0,1309.8644,9912.43,917.486,8994.943,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
328808,2,110,112,56,2,1,1,2,2,9,3,146101.267588,70531.16,0,0,0,0,0,4030.352,0,3964.743,294.7579,3669.985,0,0,0,0,0,0,19318,2,28519.6992497817,2,0,0
328843,1,49,49,45,1,1,5,2,1,4,4,82622.216,82622.216,0,0,0,0,0,0,1511.382,3564.039,1648.154,1915.885,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
328890,1,78,78,77,2,6,2,1,5,8,3,44132.3544,0,2015.176,0,18942.6544,0,23174.524,0,0,5108.238,87.18192,5021.056,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
328959,1,64,64,30,2,1,5,2,2,8,4,73553.924,73553.924,0,0,0,0,0,0,0,3161.425,1596.26,1565.165,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
328996,2,122,94,32,2,1,3,2,5,8,4,131187.9576,70531.16,0,0,0,0,0,0,0,2032.169,413.0763,1619.093,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
329036,2,125,121,38,1,1,4,2,3,4,3,208570.716,50379.4,0,0,0,0,0,0,1712.8996,5556.81,668.3948,4888.415,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
329095,2,81,97,45,1,1,1,2,4,6,1,84738.1508,38691.3792,0,0,0,0,0,0,1108.3468,5199.779,342.5004,4857.279,0,0,0,0,0,0,24755,2,39630.4432054192,2,0,0
329115,1,76,76,53,2,1,1,2,4,9,4,162221.668,105796.74,7053.116,0,0,0,0,1712.8996,0,7778.912,2049.813,5729.098,0,0,0,0,0,0,18774,2,32401.9996992759,2,0,0
329119,1,75,76,74,2,6,2,1,2,1,1,9773.6036,0,0,0,9773.6036,0,0,0,584.40104,113.1289,113.1289,0,21,0,2134,0,0,2134,11511,1,15017.1298261508,1,0.137767225503922,2068.86840820313
329120,1,72,71,43,1,1,1,2,4,6,3,52394.576,29220.052,0,0,0,0,0,0,1612.1408,9761.221,2408.919,7352.301,0,0,0,0,0,0,29360,2,39630.4432054192,2,0,0
329157,1,96,96,62,1,3,1,2,2,6,2,28615.4992,0,0,0,0,0,0,0,1007.588,1134.403,1134.403,0,0,0,0,0,0,0,18774,2,32401.9996992759,1,0.26251432299614,8505.9892578125
329265,4,112,81,5,1,NA,5,2,1,4,1,18136.584,0,0,0,0,0,0,0,1108.3468,0,0,0,0,0,0,1170.4,581,1751.4,24339,1,32401.9996992759,2,0,0
329279,2,127,113,55,1,1,1,2,2,8,4,276079.112,276079.112,0,0,0,0,0,0,0,1788.309,1113.645,674.6636,0,0,0,0,0,0,12486,2,15017.1298261508,1,1,15017.1298828125
329287,4,100,90,7,2,NA,5,2,5,8,1,109857.31964,0,0,0,0,0,0,0,0,3612.394,510.637,3101.757,0,0,0,0,0,0,24339,2,32401.9996992759,2,0,0
329453,2,232,197,19,1,6,5,2,2,3,3,11083.468,0,0,0,0,0,0,0,423.18696,0,0,0,21,0,5948,0,0,5948,19318,1,28519.6992497817,2,0,0
329510,1,79,79,63,1,1,1,2,4,6,4,61664.3856,37280.756,0,0,0,0,0,0,1108.3468,1243.712,545.9249,697.7875,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
329555,1,121,122,34,1,1,5,2,3,4,4,70531.16,70531.16,0,0,0,0,0,0,1410.6232,965.2285,134.9244,830.3041,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
329742,1,148,148,66,2,6,5,2,2,4,2,39598.2084,32343.5748,0,0,7254.6336,0,0,0,806.0704,3162.42,360.1444,2802.276,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
329748,1,325,325,76,2,6,5,2,3,8,4,6347.8044,0,302.2764,0,1511.382,0,4534.146,0,0,806.8687,217.9548,588.9139,0,0,0,0,0,0,11511,1,15017.1298261508,1,0.494862020015717,7431.4072265625
329751,1,110,110,49,2,1,5,2,2,4,4,130986.44,130986.44,0,0,0,0,0,0,1712.8996,2383.014,1789.305,593.7089,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
329946,2,107,142,51,2,6,1,2,4,9,2,126956.088,0,0,0,0,0,0,2720.4876,0,12176.45,1133.365,11043.09,0,0,0,0,0,0,25160,2,36093.9627996357,2,0,0
329950,1,130,130,38,2,1,5,2,2,4,3,70531.16,70531.16,0,0,0,0,0,0,1612.1408,1735.336,564.6068,1170.729,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
330055,1,155,155,78,2,6,2,2,2,9,4,51286.2292,0,0,0,17028.2372,0,34257.992,2518.97,0,1428.953,122.4698,1306.483,0,0,0,0,0,0,14507,2,21174.1530548727,2,0,0
330283,5,51,65,2,2,NA,5,2,5,9,NA,355678.564,0,0,0,0,0,0,3526.558,0,12118.29,2154.639,9963.648,0,0,0,0,0,0,28643,2,36093.9627996357,2,0,0
330373,1,132,132,74,2,6,2,1,1,4,1,49170.2944,0,0,0,0,9874.3624,0,0,1007.588,113.1289,113.1289,0,35,0,1767,1170.4,0,2937.4,29360,2,39630.4432054192,2,0,0
330489,1,132,131,79,1,6,4,2,3,8,4,59246.1744,0,0,0,22973.0064,0,36273.168,0,0,2851.679,238.7124,2612.967,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
330723,2,83,83,5,1,NA,5,2,4,4,1,148115.436,0,0,0,0,0,0,0,1612.1408,3861.951,1476.903,2385.048,0,0,0,0,0,0,19318,2,28519.6992497817,2,0,0
330725,1,77,77,52,2,1,5,1,5,9,3,66500.808,66500.808,0,0,0,0,0,1108.3468,0,2523.47,791.9025,1731.568,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
330775,1,41,41,67,2,6,2,2,4,8,3,190031.0968,0,0,0,19043.4132,0,40001.2436,0,0,9158.918,1292.161,7866.757,0,0,0,0,0,0,18774,2,32401.9996992759,2,0,0
330977,1,90,90,23,1,6,5,2,2,4,3,46691.62792,342.57992,0,0,0,0,0,0,1309.8644,4372.589,1134.403,3238.186,0,0,0,0,0,0,25160,2,36093.9627996357,2,0,0
331039,2,41,57,14,2,NA,5,2,3,3,1,5037.94,0,0,0,0,0,0,0,2821.2464,3391.792,122.4698,3269.322,0,0,0,0,0,0,16543,1,22660.9278954915,1,0.31380507349968,7111.1142578125
331065,1,75,76,53,1,1,5,2,4,6,1,80607.04,80607.04,0,0,0,0,0,0,1007.588,57.0834,57.0834,0,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
331133,1,184,184,52,1,6,5,1,3,3,3,0,0,0,0,0,0,0,0,654.9322,77.841,77.841,0,21,0,2328,0,0,2328,12486,1,15017.1298261508,1,0.395988553762436,5946.611328125
331281,1,301,300,45,2,1,3,2,3,4,2,18136.584,18136.584,0,0,0,0,0,0,1511.382,0,0,0,0,0,0,0,0,0,12486,2,15017.1298261508,1,0.056663502007723,850.923156738281
331313,2,130,94,28,1,6,1,1,4,3,4,0,0,0,0,0,0,0,0,1309.8644,12.45456,12.45456,0,0,637.2,0,585.2,0,585.2,24339,1,32401.9996992759,1,0.600203692913055,19447.80078125
331338,1,39,39,52,2,1,1,2,2,7,1,36071.6504,20151.76,0,0,0,0,0,0,0,5.1894,5.1894,0,0,0,0,0,0,0,24755,2,39630.4432054192,2,0,0
331340,1,75,75,35,2,1,5,2,4,4,4,33250.404,18136.584,0,0,0,0,0,0,1309.8644,680.8494,680.8494,0,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
331456,1,80,79,74,1,6,1,2,4,6,1,14509.2672,0,0,0,7254.6336,0,0,0,604.5528,151.5305,151.5305,0,35,0,3130,0,0,3130,14507,2,21174.1530548727,1,0.172446861863136,3651.41625976563
331567,1,152,152,49,2,1,1,2,1,1,1,40303.52,0,0,10075.88,0,0,0,0,634.78044,600.9326,600.9326,0,0,0,0,0,0,0,24755,2,39630.4432054192,2,0,0
331572,3,81,78,5,2,NA,5,2,2,1,1,8362.9804,0,0,0,0,0,0,0,211.59348,6.227281,6.227281,0,21,0,5944,1170.4,581,7695.4,19337,1,26902.7341846366,2,0,0
331612,3,81,100,19,2,6,5,2,4,6,3,42822.49,0,0,0,0,0,0,0,1511.382,882.198,788.7888,93.40921,0,0,0,0,0,0,25160,2,36093.9627996357,2,0,0
331670,1,77,78,73,2,1,5,2,2,6,2,58843.1392,50379.4,0,0,8463.7392,0,0,0,2317.4524,3792.206,119.3562,3672.85,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
331695,4,125,88,40,1,1,1,2,2,8,1,76576.688,20151.76,0,0,0,0,0,0,0,5.1894,5.1894,0,0,0,0,0,0,0,34473,2,49526.8626664041,2,0,0
331709,1,55,54,30,2,1,5,2,4,6,4,138039.556,65493.22,0,0,0,0,0,0,1410.6232,6386.076,1767.51,4618.566,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
